Left_distance_reading, Front_distance_reading, Left_motor_speed, Right_motor_speed
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
383.61,1550.39,122.58,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
379.239,1544.63,124.602,115
